ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,SNT,SNT_Time_1,SNT_Time_2,SNT_Time_3,SNT_Time_4,UNT,UNT_time_1,UNT_time_2,UNT_time_3,UNT_time_4,INT,INT_time_1,INT_time_2,INT_time_3,INT_time_4,DNT,DNT_time_1,DNT_time_2,DNT_time_3,DNT_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Agent_cntrl1_1_1,Agent_cntrl1_1_2,Agent_cntrl1_2_1,Agent_cntrl1_2_2,Agent_cntrl2_1_1,Agent_cntrl2_1_2,Agent_cntrl2_2_1,Agent_cntrl2_2_2,Agent_estims_1,Agent_estims_2,Agent_estims_3,Action_Rel_1,Action_Rel_2,Action_Cause_1,Action_Cause_2,Action_cntrl1_1_1,Action_cntrl1_1_2,Action_cntrl1_2_1,Action_cntrl1_2_2,Action_cntrl2_1_1,Action_cntrl2_1_2,Action_cntrl2_2_1,Action_cntrl2_2_2,Action_estims_1,Action_estims_2,Action_estims_3,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Object_cntrl1_1_1,Object_cntrl1_1_2,Object_cntrl1_2_1,Object_cntrl1_2_2,Object_cntrl2_1_1,Object_cntrl2_1_2,Object_cntrl2_2_1,Object_cntrl2_2_2,Object_estims_1,Object_estims_2,Object_estims_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-Standardnormtransgression,DO-BL-Unintendednormtransgression,DO-BL-Ignorantnormtransgression,DO-BL-DeceivedNormTransgression,DO-Q-Agent_rel,DO-Q-Action_Rel,DO-Q-Object_Rel,DO-Q-SNT,DO-Q-UNT,DO-Q-INT,DO-Q-DNT,LocationLatitude,LocationLongitude,LocationAccuracy
R_3fdGVSAkO2vJPgC,Default Response Set,Anonymous,,,,0,9/30/2016 10:28,9/30/2016 10:31,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,25,15,54,2,31,2,,,,,1,,,Unintended norm transgression,Object Questions,,UNT|UNT_time,,,,,1|2,,,,,,,
R_bBgqQBHAYqjfTkB,Default Response Set,Anonymous,,,,0,9/30/2016 10:29,9/30/2016 10:31,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,1,,1,,0,100,100,,,,,,,,,,,,,,,,2,32,2,,,,,1,,,Deceived Norm Transgression,Action Questions,,,,DNT|DNT_time,,2|1,,,,,,,,
R_yx6J2iCXzGNZUWZ,Default Response Set,Anonymous,,,,0,9/30/2016 10:28,9/30/2016 10:31,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,0,100,1,,,,,,,,,,Deceived Norm Transgression,Object Questions,,,,DNT|DNT_time,,,1|2,,,,,,,
R_3EiKnoX7WpIEUOc,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:31,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,1,2,1,,1,,,1,1,,1,,0,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,2,,,,,1,,,Deceived Norm Transgression,Agent Questions,,,,DNT|DNT_time,1|2,,,,,,,,,
R_2wMpNbhKD8NVzJf,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:31,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,0,100,2,21,2,,1,,,,,,Unintended norm transgression,Object Questions,,UNT|UNT_time,,,,,2|1,,,,,,,
R_3vXSFxd5pplGUNn,Default Response Set,Anonymous,,,,0,9/30/2016 10:30,9/30/2016 10:31,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,,,1,,,,53,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,,,,,1,,,Standard norm transgression,Agent Questions,SNT|SNT_Time,,,,1|2,,,,,,,,,
R_1PZgFsax0p76gTt,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:32,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,,,1,1,,1,,52,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,2,,,,,1,,,Ignorant norm transgression,Agent Questions,,,INT|INT_time,,1|2,,,,,,,,,
R_1eQ1wmysbxx2acb,Default Response Set,Anonymous,,,,0,9/30/2016 10:30,9/30/2016 10:32,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,99,95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,1,,,1,,,,,Standard norm transgression,Agent Questions,SNT|SNT_Time,,,,2|1,,,,,,,,,
R_2RQwKID75xdKozX,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:32,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,1,,1,,0,0,100,2,43,2,,,,,1,,,Unintended norm transgression,Object Questions,,UNT|UNT_time,,,,,2|1,,,,,,,
R_3D0xgLfAOrGVqeE,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:32,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,1,,1,,0,0,82,2,41,2,,,,,1,,,Ignorant norm transgression,Object Questions,,,INT|INT_time,,,,2|1,,,,,,,
